Match,Match Notes
India vs South Africa 3rd test,"Day 3South Africa: 50 runs in 12.4 overs (76 balls), Extras 44th Wicket: 50 runs in 60 balls (Zubayr Hamza 31, T Bavuma 17, Ex 4)Zubayr Hamza: 50 off 56 balls (8 x 4, 1 x 6)Drinks: South Africa - 85/3 in 19.0 overs (Zubayr Hamza 50, T Bavuma 22)South Africa: 100 runs in 24.3 overs (147 balls), Extras 8Over 27.3: Review by India (Bowling), Umpire - NJ Llong, Batsman - Zubayr Hamza (Struck down)Lunch: South Africa - 129/6 in 36.0 overs (GF Linde 10, DL Piedt 4)Over 41.3: Review by India (Bowling), Umpire - NJ Llong, Batsman - GF Linde (Struck down)South Africa: 150 runs in 44.4 overs (269 balls), Extras 11Drinks: South Africa - 161/8 in 54.0 overs (GF Linde 36, A Nortje 4)Innings Break: South Africa - 162/10 in 56.2 overs (L Ngidi 0)Over 56.2: Review by South Africa (Batting), Umpire - RK Illingworth, Batsman - A Nortje (Struck down)South Africa 2nd inningsOver 6.6: Review by South Africa (Batting), Umpire - NJ Llong, Batsman - F du Plessis (Struck down)Tea: South Africa - 26/4 in 9.3 overs (H Klaasen 0)D Elgar retired hurt at 26/4 (16, 9.3 overs)South Africa: 50 runs in 20.2 overs (122 balls), Extras 1Drinks: South Africa - 65/5 in 26.0 overs (GF Linde 25, DL Piedt 9)RR Pant kept wickets in place of WP Saha from 26.2 overs to 46th over.TB de Bruyn replaced D Elgar as a concussion substitute in South Africa 2nd inningsSouth Africa: 100 runs in 38.3 overs (231 balls), Extras 1Over 43.1: Review by India (Bowling), Umpire - RK Illingworth, Batsman - TB de Bruyn (Struck down)End Of Day: South Africa - 132/8 in 46.0 overs (TB de Bruyn 30, A Nortje 5)"
India vs South Africa 3rd test,"Over 27.3: Review by India (Bowling), Umpire - NJ Llong, Batsman - Zubayr Hamza (Struck down)"
India vs South Africa 3rd test,"Over 41.3: Review by India (Bowling), Umpire - NJ Llong, Batsman - GF Linde (Struck down)"
India vs South Africa 3rd test,"Over 56.2: Review by South Africa (Batting), Umpire - RK Illingworth, Batsman - A Nortje (Struck down)"
India vs South Africa 3rd test,"Over 6.6: Review by South Africa (Batting), Umpire - NJ Llong, Batsman - F du Plessis (Struck down)"
India vs South Africa 3rd test,"Over 43.1: Review by India (Bowling), Umpire - RK Illingworth, Batsman - TB de Bruyn (Struck down)"
India vs South Africa 3rd test,"Day 24th Wicket: 200 runs in 290 balls (RG Sharma 109, AM Rahane 91, Ex 2)India: 250 runs in 65.6 overs (397 balls), Extras 2AM Rahane: 100 off 169 balls (14 x 4, 1 x 6)RG Sharma: 150 off 199 balls (21 x 4, 4 x 6)Drinks: India - 284/3 in 72.0 overs (RG Sharma 159, AM Rahane 101)4th Wicket: 250 runs in 344 balls (RG Sharma 143, AM Rahane 105, Ex 2)India: 300 runs in 74.4 overs (449 balls), Extras 2Over 80.4: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - RG Sharma (Struck down)New ball taken at 82.1 oversIndia: 350 runs in 83.6 overs (505 balls), Extras 65th Wicket: 50 runs in 56 balls (RG Sharma 32, RA Jadeja 15, Ex 4)Lunch: India - 357/4 in 85.0 overs (RG Sharma 199, RA Jadeja 15)RG Sharma: 200 off 249 balls (28 x 4, 5 x 6)Drinks: India - 386/5 in 95.0 overs (RA Jadeja 22, WP Saha 8)India: 400 runs in 99.2 overs (597 balls), Extras 7Drinks: India - 417/6 in 103.3 overs (RA Jadeja 32)India: 450 runs in 111.3 overs (670 balls), Extras 13RA Jadeja: 50 off 118 balls (4 x 4)Innings Break: India - 497/9 in 116.3 overs (S Nadeem 1, Mohammed Shami 10)Tea: India - 497/9 in 116.3 overs (S Nadeem 1, Mohammed Shami 10)South Africa 1st inningsBad Light: South Africa - 9/2 in 5.0 overs (Zubayr Hamza 0, F du Plessis 1)End Of Day: South Africa - 9/2 in 5.0 overs (Zubayr Hamza 0, F du Plessis 1)"
India vs South Africa 3rd test,"Over 80.4: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - RG Sharma (Struck down)"
India vs South Africa 3rd test,"Day 1India 1st inningsOver 8.3: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - CA Pujara (Upheld)Over 10.2: Review by India (Batting), Umpire - RK Illingworth, Batsman - RG Sharma (Upheld)Drinks: India - 29/2 in 13.0 overs (RG Sharma 11, V Kohli 8)Over 15.3: Review by India (Batting), Umpire - NJ Llong, Batsman - V Kohli (Struck down - Umpires Call)India: 50 runs in 19.2 overs (116 balls), Extras 0Lunch: India - 71/3 in 23.0 overs (RG Sharma 38, AM Rahane 11)4th Wicket: 50 runs in 57 balls (RG Sharma 25, AM Rahane 25, Ex 0)India: 100 runs in 28.1 overs (170 balls), Extras 1RG Sharma: 50 off 86 balls (8 x 4, 1 x 6)4th Wicket: 100 runs in 128 balls (RG Sharma 50, AM Rahane 49, Ex 1)Drinks: India - 147/3 in 38.0 overs (RG Sharma 75, AM Rahane 49)AM Rahane: 50 off 70 balls (8 x 4)India: 150 runs in 39.4 overs (239 balls), Extras 1RG Sharma: 100 off 130 balls (13 x 4, 4 x 6)4th Wicket: 150 runs in 188 balls (RG Sharma 85, AM Rahane 66, Ex 1)India: 200 runs in 48.4 overs (293 balls), Extras 1Tea: India - 205/3 in 52.0 overs (RG Sharma 108, AM Rahane 74)Bad Light: India - 224/3 in 58.0 overs (RG Sharma 117, AM Rahane 83)End Of Day: India - 224/3 in 58.0 overs (RG Sharma 117, AM Rahane 83)"
India vs South Africa 3rd test,"Over 8.3: Review by South Africa (Bowling), Umpire - RK Illingworth, Batsman - CA Pujara (Upheld)"
India vs South Africa 3rd test,"Over 10.2: Review by India (Batting), Umpire - RK Illingworth, Batsman - RG Sharma (Upheld)"
India vs South Africa 3rd test,"Over 15.3: Review by India (Batting), Umpire - NJ Llong, Batsman - V Kohli (Struck down - Umpires Call)"
